taxonomy_id,segment_name,attribute_name,node_value,node_type,data_type,datasource_name,datasource_id,tenant
626558140458401864,Fragrance_Purchase_Frequency_Per_Year > 6,Fragrance_Purchase_Frequency_Per_Year,6,Character,1p,cpg_demo_0819,26730,cpg_demo_0819
626558140458401865,Fragrance_Purchase_Frequency_Per_Year > 3,Fragrance_Purchase_Frequency_Per_Year,3,Character,1p,cpg_demo_0819,26730,cpg_demo_0819
626558140458401866,Fragrance_Purchase_Frequency_Per_Year > 12,Fragrance_Purchase_Frequency_Per_Year,12,Character,1p,cpg_demo_0819,26730,cpg_demo_0819
626558140458401867,Fragrance_Purchase_Frequency_Per_Year > 1,Fragrance_Purchase_Frequency_Per_Year,1,Character,1p,cpg_demo_0819,26730,cpg_demo_0819
626558140458401868,Fragrance_Purchase_Frequency_Per_Year > 2,Fragrance_Purchase_Frequency_Per_Year,2,Character,1p,cpg_demo_0819,26730,cpg_demo_0819
626558140458401869,Fragrance_Purchase_Frequency_Per_Year > 5,Fragrance_Purchase_Frequency_Per_Year,5,Character,1p,cpg_demo_0819,26730,cpg_demo_0819
626558140458401870,Fragrance_Purchase_Frequency_Per_Year > 8,Fragrance_Purchase_Frequency_Per_Year,8,Character,1p,cpg_demo_0819,26730,cpg_demo_0819
626558140458401871,Fragrance_Purchase_Frequency_Per_Year > 11,Fragrance_Purchase_Frequency_Per_Year,11,Character,1p,cpg_demo_0819,26730,cpg_demo_0819
626558140458401872,Fragrance_Purchase_Frequency_Per_Year > 4,Fragrance_Purchase_Frequency_Per_Year,4,Character,1p,cpg_demo_0819,26730,cpg_demo_0819
626558140458401873,Fragrance_Purchase_Frequency_Per_Year > 9,Fragrance_Purchase_Frequency_Per_Year,9,Character,1p,cpg_demo_0819,26730,cpg_demo_0819
626558140458401874,Fragrance_Purchase_Frequency_Per_Year > 10,Fragrance_Purchase_Frequency_Per_Year,10,Character,1p,cpg_demo_0819,26730,cpg_demo_0819
626558140458401875,Fragrance_Purchase_Frequency_Per_Year > 7,Fragrance_Purchase_Frequency_Per_Year,7,Character,1p,cpg_demo_0819,26730,cpg_demo_0819
626558140458401876,Fragrance_Purchase_Frequency_Per_Year > 0,Fragrance_Purchase_Frequency_Per_Year,0,Character,1p,cpg_demo_0819,26730,cpg_demo_0819
626558140458405986,Employment_Status > FullTime,Employment_Status,FullTime,Character,1p,cpg_demo_0819,26730,cpg_demo_0819
626558140458405987,Employment_Status > SelfEmployed,Employment_Status,SelfEmployed,Character,1p,cpg_demo_0819,26730,cpg_demo_0819
626558140458405988,Employment_Status > Student,Employment_Status,Student,Character,1p,cpg_demo_0819,26730,cpg_demo_0819
626558140458405989,Employment_Status > PartTime,Employment_Status,PartTime,Character,1p,cpg_demo_0819,26730,cpg_demo_0819
626558140458405990,Employment_Status > HomeMaker,Employment_Status,HomeMaker,Character,1p,cpg_demo_0819,26730,cpg_demo_0819
626558140458405991,Employment_Status > Retired,Employment_Status,Retired,Character,1p,cpg_demo_0819,26730,cpg_demo_0819
